,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate
27,Nevada,01-12-2021,252842,3546,,249296.0,8208.740076801305,2254748.0,1.4024568702984472,73202.39624226825
28,New Hampshire,01-12-2021,54516,878,46031.0,6240.0,3846.92041176397,1104602.0,1.6613455178083238,81237.99836877099
29,New Jersey,01-12-2021,594749,20039,60328.0,514382.0,6695.972502277029,8469406.0,3.369320503271128,95352.6776617028
30,New Mexico,01-12-2021,157974,2794,80580.0,74600.0,7533.9476895826965,2113785.0,1.7686454733057342,100808.64963237346
31,New York,01-12-2021,1164562,40020,111141.0,1013401.0,5986.369282210079,27721577.0,3.4364851334664883,142501.29834841035
32,North Carolina,01-12-2021,635975,7638,521475.0,106862.0,6063.786293092237,7727649.0,1.2009906049766108,73680.27372778479
33,North Dakota,01-12-2021,94968,1363,91850.0,1755.0,12461.978159257384,1282799.0,1.4352202847274866,168332.62910366873
34,Ohio,01-12-2021,792938,15202,648724.0,134412.0,6783.567597163169,8225635.0,1.2361622220148358,70370.13114782148
35,Oklahoma,01-12-2021,337900,2804,294629.0,40024.0,8528.164598628597,2864080.0,0.8309206802644485,72380.61638561415
36,Oregon,01-12-2021,127780,1667,5870.0,120243.0,3029.5867191339808,2839839.0,1.3045860071998747,67330.86961088375
37,Pennsylvania,01-12-2021,737994,18045,542737.0,177212.0,5764.682347407111,8198497.0,2.445141830421385,32312.080568105474
38,Rhode Island,01-12-2021,101393,2109,6042.0,93381.0,9571.147134923787,2179821.0,1.9429349166116003,205767.53344704967
39,South Carolina,01-12-2021,359357,5860,166724.0,186773.0,6979.548679534346,3498188.0,1.6306903719699353,67942.94652994903
40,South Dakota,01-12-2021,103743,1585,97407.0,4751.0,11726.891378485947,385382.0,1.5278139247949258,43562.77390497355
41,Tennessee,01-12-2021,660874,8011,579345.0,73518.0,9677.21718614872,5986016.0,1.2121826550900776,87653.58738846016
42,Texas,01-12-2021,2014645,30895,1595600.0,388150.0,6948.0385852045665,15031531.0,1.5335207939860371,51840.22861729912
43,Utah,01-12-2021,309629,1422,253415.0,54792.0,9657.92440200402,2394548.0,0.4592593071062465,74690.56051264553
44,Vermont,01-12-2021,9247,158,6226.0,2863.0,1481.9171491805146,767325.0,1.7086622688439494,122970.91775656302
45,Virginia,01-12-2021,407947,5477,33562.0,368908.0,4779.404743870877,4640967.0,1.3425763640865112,54372.405474113526
46,Washington,01-12-2021,278544,3789,,274755.0,3657.884621622392,4087531.0,1.3602877821816302,53678.11471546613
47,West Virginia,01-12-2021,103203,1634,72992.0,28577.0,5758.623595051075,1684532.0,1.5832873075395095,93995.19124268266
48,Wisconsin,01-12-2021,555249,5633,477460.0,72156.0,9536.372589195516,5644935.0,1.0144998009901864,96951.46394102537
49,Wyoming,01-12-2021,48072,522,45223.0,2327.0,8306.047940507191,536070.0,1.0858711932101848,92624.04558719606
50,Alabama,01-13-2021,410995,5760,211684.0,193551.0,8382.20462821615,1989724.0,1.401476903611966,40580.2350920881
51,Alaska,01-13-2021,50840,226,7165.0,43425.0,6946.394275130033,1370835.0,0.4447418136020151,187389.01913074387
52,Arizona,01-13-2021,641729,10673,87672.0,543384.0,8816.512580445153,5788321.0,1.6631631109081868,43025.92063958525
53,Arkansas,01-13-2021,262020,4186,229700.0,28134.0,8682.472420342741,2208736.0,1.5975879703839402,73190.17404708854
54,California,01-13-2021,2870104,31871,,2811378.0,7195.398750406931,36842651.0,1.1144322564896578,93243.68056942783
55,Colorado,01-13-2021,366774,5285,19457.0,342032.0,6369.001808730249,4856955.0,1.4409418333905892,84340.64350232412
56,Connecticut,01-13-2021,220576,6536,9800.0,204240.0,6186.767012024558,4828069.0,2.96315102277673,135418.80359140792
57,Delaware,01-13-2021,67173,1166,18851.0,47328.0,6898.283362293123,1081445.0,1.4797612135828384,111058.22355314018
58,Florida,01-13-2021,1517472,23396,,1494076.0,7065.325364585664,17148040.0,1.5417747411484364,79841.00000852045
59,Georgia,01-13-2021,782288,11803,,770485.0,7367.964900710841,5763974.0,1.5087793753707075,54287.88134371212
60,Hawaii,01-13-2021,24352,312,11958.0,11680.0,1691.4664602449939,882893.0,1.2985928431249738,62356.83734122859
61,Idaho,01-13-2021,152364,1564,67633.0,83167.0,8525.934982779027,566225.0,1.0264891969231578,31684.633743036768
62,Illinois,01-13-2021,1046030,19617,,1026413.0,8254.772538216883,14339584.0,1.8753764232383392,113161.19443290748
63,Indiana,01-13-2021,574119,10334,372444.0,192512.0,8527.931132365124,6220087.0,1.5960105831717817,92392.82025733267
64,Iowa,01-13-2021,301161,4232,260557.0,36372.0,9545.303273778394,1205222.0,1.4052284326323794,38199.53281543674
65,Kansas,01-13-2021,254104,3347,5026.0,244621.0,8683.924904764814,1083932.0,1.3213961026127514,37206.15079596638
66,Kentucky,01-13-2021,313281,2991,39723.0,270567.0,7012.1738990297645,3366855.0,0.9547339289647312,75360.37216689762
67,Louisiana,01-13-2021,355835,8022,298614.0,49199.0,7654.350784310944,4527858.0,2.2544156701842137,97398.55110809383
68,Maine,01-13-2021,31150,453,11809.0,18888.0,2317.342800094033,1214698.0,1.4542536115569824,90365.06146351916
69,Maryland,01-13-2021,314867,6404,9439.0,299024.0,5208.132087705601,6254353.0,2.0338746200776834,103451.60511307248
70,Massachusetts,01-13-2021,448447,13359,293522.0,141566.0,6506.3011216679915,11944985.0,2.9789473449482324,173304.0232263954
71,Michigan,01-13-2021,573278,14336,415079.0,143863.0,5740.324508501523,8665671.0,2.5007064635307827,86770.75280040558
72,Minnesota,01-13-2021,440354,5842,419139.0,15373.0,7808.204506960738,5733978.0,1.3266599145233149,101672.91057288843
73,Mississippi,01-13-2021,243899,5315,198888.0,39696.0,8195.120607200783,1466825.0,2.1791807264482435,49286.00684979146
74,Missouri,01-13-2021,489319,6411,,434490.0,7182.960028207253,3859023.0,1.442444011441559,62876.87611162201
75,Montana,01-13-2021,87653,1069,81676.0,4908.0,8201.235429621493,855069.0,1.219581759894128,80004.36011968809
76,Nebraska,01-13-2021,179199,1803,120700.0,56696.0,9263.764417847735,1874707.0,1.0061440075000418,96913.73278026146
77,Nevada,01-13-2021,253985,3596,,250389.0,8245.848586889755,2268691.0,1.4158316436010001,73655.06811992639
78,New Hampshire,01-13-2021,55378,885,46633.0,6607.0,3980.6252946398167,1112047.0,1.6351039260969975,81785.54119220923
79,New Jersey,01-13-2021,602629,20161,60769.0,521699.0,6784.689361520074,8477286.0,3.3455077668017967,95441.39452094585
80,New Mexico,01-13-2021,159119,2807,81603.0,74709.0,7588.553954566633,2124990.0,1.7640885123712442,101343.02797223807
81,New York,01-13-2021,1179266,40192,112023.0,1027051.0,6061.954415440957,27918445.0,3.408221724360746,143513.28787567475
82,North Carolina,01-13-2021,641073,7745,521475.0,111853.0,6112.393836662635,7766179.0,1.208130743300685,74047.64302040296
83,North Dakota,01-13-2021,95135,1364,92029.0,1742.0,12483.89238670869,1287521.0,1.4337520365795977,168952.26372657347
84,Ohio,01-13-2021,799639,15343,656433.0,133325.0,6840.894508559257,8250980.0,1.2356826017740503,70586.95707967253
85,Oklahoma,01-13-2021,341820,2848,299375.0,39141.0,8626.901738728942,2889390.0,0.8343000433554798,73020.24705260665
86,Oregon,01-13-2021,129109,1708,5870.0,121531.0,3061.09650743989,2856686.0,1.3229131973758608,67730.30181824992
87,Pennsylvania,01-13-2021,746002,18412,556041.0,171549.0,5827.2351272915475,8255043.0,2.468089897882311,32477.461119518222
88,Rhode Island,01-13-2021,102485,2120,6101.0,94397.0,9674.22814319198,2199630.0,1.9388203151680727,207637.434264618
89,South Carolina,01-13-2021,365378,5911,168440.0,191027.0,7096.490502288531,3535436.0,1.617776658693189,68666.38931585634
90,South Dakota,01-13-2021,104195,1604,97829.0,4762.0,11777.984511546258,387299.0,1.5394212774125438,43779.467568859865
91,Tennessee,01-13-2021,665499,8148,588974.0,68377.0,9744.941335511441,6008119.0,1.2243444392854084,87977.24292864701
92,Texas,01-13-2021,2040751,31277,1612188.0,397286.0,7038.072062718149,15179088.0,1.532622059232116,52349.11813853837
93,Utah,01-13-2021,314817,1449,257824.0,54945.0,9801.064143697453,2406992.0,0.4611448102909445,75078.71282156535
94,Vermont,01-13-2021,9368,158,6321.0,2889.0,1501.3085166565436,771018.0,1.6865926558497009,123562.75511267026
95,Virginia,01-13-2021,412545,5552,33798.0,373195.0,4833.273758748589,4674630.0,1.3457925802033717,54766.792739843935
96,Washington,01-13-2021,281202,3838,,277364.0,3692.7899052554,4110647.0,1.364855157502436,53981.677746489666
97,West Virginia,01-13-2021,104392,1671,74739.0,27982.0,5824.968599116031,1697113.0,1.600697371446088,94697.19838830184
98,Wisconsin,01-13-2021,558020,5679,480112.0,72229.0,9583.964369540301,5674434.0,1.0177054585857137,97458.10772608157
99,Wyoming,01-13-2021,48289,522,45904.0,1863.0,8343.54195787884,537679.0,1.0809915301621489,92902.05422291489
100,Alabama,01-14-2021,414583,5945,221961.0,186677.0,8455.381553010951,1999693.0,1.4339710021877403,40783.55191574456
101,Alaska,01-14-2021,51185,228,7165.0,43764.0,6993.007948930002,1382276.0,0.4456868072795512,188952.96940037864
102,Arizona,01-14-2021,649040,10855,88666.0,549519.0,8916.95610641271,5854089.0,1.6724701097004806,43318.71949410865
103,Arkansas,01-14-2021,264511,4228,235513.0,24770.0,8765.015885723526,2233844.0,1.5984212376800966,74022.16976317878
104,California,01-14-2021,2910044,32517,,2851381.0,7298.245406237963,37130366.0,1.120713361554032,93971.8476482581
105,Colorado,01-14-2021,369177,5316,19560.0,344301.0,6410.7297156876075,4895837.0,1.4399596941304578,85015.82638967996
106,Connecticut,01-14-2021,221544,6553,9800.0,205191.0,6213.917701436098,4850459.0,2.95787744195284,136046.8035252141
107,Delaware,01-14-2021,68065,1178,18851.0,48219.0,6989.886666584512,1089972.0,1.4618379490193198,111933.89774113646
108,Florida,01-14-2021,1531192,23613,,1507579.0,7129.205465175404,17282796.0,1.5421318815667793,80468.42178950232
109,Georgia,01-14-2021,791324,11975,,779349.0,7453.070297754925,5801007.0,1.5132865931021933,54636.67596176586
110,Hawaii,01-14-2021,24598,318,11958.0,11838.0,1703.049428196899,888876.0,1.3146435532700202,62779.403787913034
111,Idaho,01-14-2021,153358,1591,68657.0,83110.0,8581.556910353009,569199.0,1.0374418028404129,31851.05186436979
112,Illinois,01-14-2021,1052682,19724,,1032958.0,8307.26696660251,14457620.0,1.8736902502370136,114092.67855030464
113,Indiana,01-14-2021,578494,10400,373704.0,195588.0,8592.917134751558,6271603.0,1.5906820122594183,93158.03600566174
114,Iowa,01-14-2021,302560,4251,262266.0,36043.0,9589.644603764737,1208878.0,1.4050105764145957,38315.40980073343
115,Kansas,01-14-2021,254410,3348,5026.0,244621.0,8683.924904764814,1083932.0,1.3213961026127514,37206.15079596638
116,Kentucky,01-14-2021,317344,3042,39998.0,274304.0,7103.116096455582,3378562.0,0.9585812241605324,75622.41014505761
117,Louisiana,01-14-2021,361148,8080,298614.0,54454.0,7768.63848989652,4563949.0,2.2373099117259407,98174.902996347
118,Maine,01-14-2021,31958,461,11840.0,19657.0,2377.452366144626,1223968.0,1.4425183052756745,91054.68482650057
119,Maryland,01-14-2021,317815,6449,9443.0,301923.0,5256.894178984002,6298178.0,2.0291679121501502,104176.50289132076
120,Massachusetts,01-14-2021,454402,13433,324203.0,116766.0,6592.6993430398215,12046398.0,2.956192974502753,174775.3755058213
121,Michigan,01-14-2021,576573,14511,415079.0,146983.0,5773.317871678748,8714839.0,2.5167671743213784,87263.07986586771
122,Minnesota,01-14-2021,441935,5885,420919.0,15131.0,7836.238251006449,5767323.0,1.3316437937705772,102264.17255593982
123,Mississippi,01-14-2021,245847,5356,198888.0,41603.0,8260.574319363715,1468773.0,2.1785907495312125,49351.4605619544
124,Missouri,01-14-2021,492899,6457,,437201.0,7227.864831978477,3882097.0,1.4436266498348755,63252.831642179735
125,Montana,01-14-2021,88110,1077,82190.0,4843.0,8243.994543300854,862427.0,1.2223357167177389,80692.80991936586
126,Nebraska,01-14-2021,180131,1818,123234.0,55079.0,9311.944532901021,1887154.0,1.0092654790124964,97557.18545415443
127,Nevada,01-14-2021,256172,3658,,252514.0,8316.851484145609,2289156.0,1.4279468482113582,74319.48251971652
128,New Hampshire,01-14-2021,55957,897,47153.0,6728.0,4028.6502058157953,1122237.0,1.6375187118916352,82534.96515068275
129,New Jersey,01-14-2021,609721,20161,61264.0,528296.0,6864.534534838818,8534237.0,3.3065943275694947,96082.57648170102
130,New Mexico,01-14-2021,160543,2836,82809.0,74898.0,7656.466025603423,2140562.0,1.7665049239144652,102085.67317601961
131,New York,01-14-2021,1193453,40435,112979.0,1040039.0,6134.881937553748,28131034.0,3.3880680680345185,144606.09037080663
132,North Carolina,01-14-2021,650926,7825,521475.0,121626.0,6206.338545724842,7850168.0,1.2021335758596214,74848.4470566788
133,North Dakota,01-14-2021,95378,1372,92249.0,1757.0,12515.779555994131,1294101.0,1.438486862798549,169815.7105327388
134,Ohio,01-14-2021,807293,15457,663856.0,133447.0,6906.374314532342,8304981.0,1.2374689239222934,71048.93447741914
135,Oklahoma,01-14-2021,344969,2882,303476.0,38148.0,8706.305909242195,2908367.0,0.8365601760201564,73499.83105764486
136,Oregon,01-14-2021,130246,1737,5870.0,122639.0,3088.0540915661645,2874572.0,1.3336302074535875,68154.36808885902
137,Pennsylvania,01-14-2021,753164,18710,568908.0,165546.0,5883.179559051332,8307622.0,2.484186710995215,32624.141451769723
138,Rhode Island,01-14-2021,103386,2130,6175.0,95215.0,9759.279414666009,2219805.0,1.9306289052676373,209541.8842113312
139,South Carolina,01-14-2021,371180,5934,170072.0,195174.0,7209.178835724803,3576120.0,1.5986852739910555,69456.56721270594
140,South Dakota,01-14-2021,104512,1614,98170.0,4728.0,11813.817527431474,388172.0,1.5443202694427434,43878.14965992546
141,Tennessee,01-14-2021,670482,8232,596883.0,65367.0,9817.907700111316,6033531.0,1.227773452531164,88349.35235212928
142,Texas,01-14-2021,2068637,31693,1630778.0,406166.0,7134.244343187917,15304459.0,1.5320716007690087,52781.49334383046
143,Utah,01-14-2021,317559,1460,260728.0,55371.0,9905.276363570578,2421802.0,0.45975708451028,75540.66522393619
144,Vermont,01-14-2021,9573,162,6403.0,3008.0,1534.1616599010556,779178.0,1.6922594797869006,124870.4704730372
145,Virginia,01-14-2021,417839,5626,34013.0,378200.0,4895.296935077996,4706714.0,1.3464516237115252,55142.68083756828
146,Washington,01-14-2021,283777,3876,,279901.0,3726.60521953493,4128417.0,1.3658612220158786,54215.036245420655
147,West Virginia,01-14-2021,105219,1702,76272.0,27245.0,5871.1143672924145,1711057.0,1.6175785742118818,95475.25956297113
148,Wisconsin,01-14-2021,561160,5728,482669.0,72763.0,9637.893705622082,5716124.0,1.0207427471665835,98174.13129972793
149,Wyoming,01-14-2021,48701,522,46127.0,2052.0,8414.728755837923,542316.0,1.0718465739923204,93703.25126693494
150,Alabama,01-15-2021,417528,6030,221961.0,189537.0,8515.444552877365,2012213.0,1.4442145197447835,41038.89614607648
151,Alaska,01-15-2021,51485,229,7165.0,44072.0,7035.2473190302735,1389226.0,0.4449539501807018,189903.0134851581
152,Arizona,01-15-2021,658186,11040,89665.0,557481.0,9042.61011933834,5912271.0,1.6773374091822069,43605.28098564623
153,Arkansas,01-15-2021,267635,4263,237729.0,25643.0,8868.534868400997,2248612.0,1.5928409961327927,74511.53222674501
154,California,01-15-2021,2948054,33192,,2889688.0,7396.926262539063,37449536.0,1.1291652552956353,94779.62300425363
155,Colorado,01-15-2021,371458,5343,19665.0,346450.0,6450.3391021918715,4937103.0,1.4383860355679512,85732.40725047997
156,Connecticut,01-15-2021,223422,6594,9800.0,207028.0,6266.592282753114,4880936.0,2.951365577248436,136901.62951818467
157,Delaware,01-15-2021,68727,1182,18851.0,48874.0,7057.870284791798,1101490.0,1.4579422934217994,113116.73054251338
158,Florida,01-15-2021,1548067,23799,,1524268.0,7207.7751953103825,17424558.0,1.537336562306412,81128.4633944442
159,Georgia,01-15-2021,801130,12138,,788992.0,7545.4279254014855,5844021.0,1.5151099072560008,55041.802516486336
160,Hawaii,01-15-2021,24789,318,11958.0,12043.0,1717.5281381367804,894688.0,1.3035611481207336,63189.89287167202
161,Idaho,01-15-2021,154470,1603,69460.0,83407.0,8643.781843413642,571813.0,1.037741956366932,31997.325223201162
162,Illinois,01-15-2021,1059324,19873,,1039451.0,8359.682479731997,14564776.0,1.876007718129676,114938.30286901938
163,Indiana,01-15-2021,583160,10465,374379.0,199535.0,8662.225634668153,6328023.0,1.5854996913368544,93996.0954924372
164,Iowa,01-15-2021,303926,4257,263844.0,35825.0,9632.93999816169,1212121.0,1.4006698999098466,38418.19674365386
165,Kansas,01-15-2021,258354,3489,5138.0,249727.0,8868.045119750223,1100365.0,1.350472607352702,37770.21632409002
166,Kentucky,01-15-2021,321269,3061,40100.0,278108.0,7190.969437557314,3392110.0,0.952784115492002,75925.65525722227
167,Louisiana,01-15-2021,364853,8080,298614.0,58159.0,7848.33657933649,4593428.0,2.2145905337218004,98809.02444806117
168,Maine,01-15-2021,32781,477,11876.0,20428.0,2438.6778276045748,1238547.0,1.4551111924590463,92139.26077136645
169,Maryland,01-15-2021,320739,6494,9444.0,304801.0,5305.259292585782,6352475.0,2.0246992102613026,105074.6152624684
170,Massachusetts,01-15-2021,459927,13509,324203.0,122215.0,6672.85890191125,12147366.0,2.9372052521378387,176240.2714949852
171,Michigan,01-15-2021,579574,14550,415079.0,149945.0,5803.367365728777,8757257.0,2.5104645826072254,87687.81809932795
172,Minnesota,01-15-2021,443562,5918,422289.0,15355.0,7865.08765110915,5808350.0,1.3341990522181792,102991.64910050867
173,Mississippi,01-15-2021,248189,5411,198888.0,43890.0,8339.266616019559,1471115.0,2.180193320413072,49430.152858610236
174,Missouri,01-15-2021,497037,6492,,439391.0,7264.068922682271,3903116.0,1.4436092923936863,63595.304091551065
175,Montana,01-15-2021,88635,1086,82460.0,5089.0,8293.116063392023,869564.0,1.2252496192249112,81360.58189820523
176,Nebraska,01-15-2021,180910,1837,124233.0,54840.0,9352.215251384405,1894614.0,1.0154220330551105,97942.83315619043
177,Nevada,01-15-2021,258050,3698,,254352.0,8377.822421981224,2304127.0,1.4330556093780276,74805.52933033263
178,New Hampshire,01-15-2021,56966,908,48018.0,6624.0,4085.4269767619735,1130805.0,1.6345634563456346,83165.09905413723
179,New Jersey,01-15-2021,616032,20320,61718.0,533994.0,6935.586831625984,8676802.0,3.2985299464962865,97687.64234946562
180,New Mexico,01-15-2021,161805,2874,84015.0,74916.0,7716.652144738555,2127494.0,1.7762121071660333,101462.44638928592
181,New York,01-15-2021,1212922,40637,113919.0,1058366.0,6234.961300915551,28455705.0,3.3503390984745933,146275.04445073064
182,North Carolina,01-15-2021,659840,7933,521475.0,130432.0,6291.3302372482885,7937712.0,1.2022611542192048,75683.14670248638
183,North Dakota,01-15-2021,95599,1395,92551.0,1653.0,12544.779821064429,1298741.0,1.4592202847310118,170424.58487629614
184,Ohio,01-15-2021,814442,15595,669448.0,134937.0,6967.53385632769,8368521.0,1.2348331741241243,71592.51781574287
185,Oklahoma,01-15-2021,348513,2925,306874.0,38245.0,8795.717734600532,2937452.0,0.8404109825194516,74234.86297978934
186,Oregon,01-15-2021,131258,1758,5870.0,123630.0,3112.0480010963224,2895680.0,1.3393469350439593,68654.82603585762
187,Pennsylvania,01-15-2021,759243,18935,573504.0,166804.0,5930.664367857215,8368848.0,2.493931455410192,32769.165791346946
188,Rhode Island,01-15-2021,104443,2146,6229.0,96209.0,9859.056544464069,2242295.0,1.9197074002087264,211664.8621197118
189,South Carolina,01-15-2021,375967,6037,171539.0,198391.0,7302.153508623707,3609752.0,1.6057260344657909,70109.77886905351
190,South Dakota,01-15-2021,104937,1629,98576.0,4732.0,11861.858637056765,389508.0,1.552359987421024,44029.16830100638
191,Tennessee,01-15-2021,676039,8311,602938.0,64790.0,9899.279180761832,6067669.0,1.2293669448064386,88849.2371112524
192,Texas,01-15-2021,2094921,32086,1649735.0,413100.0,7136.48259213093,15443899.0,1.531591089873512,53262.38923383635
193,Utah,01-15-2021,320102,1472,263256.0,55374.0,9984.597427664368,2436305.0,0.4598534217218262,75993.04170547464
194,Vermont,01-15-2021,9734,163,6506.0,3065.0,1559.9633967906484,788759.0,1.6745428395315392,126405.91420682096
195,Virginia,01-15-2021,422634,5656,34805.0,382173.0,4951.473952550513,4730680.0,1.3382737782573102,55423.46048318796
196,Washington,01-15-2021,285970,3903,,282067.0,3755.4040483562935,4153214.0,1.364828478511732,54540.67443889232
197,West Virginia,01-15-2021,106649,1733,77900.0,27016.0,5950.906928951698,1732732.0,1.624956633442414,96684.70276154805
198,Wisconsin,01-15-2021,563866,5770,485157.0,72939.0,9684.369114360075,5745570.0,1.0232927681399482,98679.86481255088
199,Wyoming,01-15-2021,48909,522,46502.0,1885.0,8450.667721797847,549805.0,1.0672882291602772,94997.22682498244
200,Alabama,01-16-2021,420681,6119,221961.0,192601.0,8579.749693311593,2021123.0,1.4545463189447587,41220.61476366892
201,Alaska,01-16-2021,51678,229,7165.0,44259.0,7060.809656275417,1398649.0,0.4433430778463981,191191.10922773034
202,Arizona,01-16-2021,666901,11248,90640.0,565013.0,9162.342759032945,5969026.0,1.6866071575841093,43870.052922788454
203,Arkansas,01-16-2021,270178,4293,240051.0,25834.0,8952.801441047859,2261205.0,1.5889524683727023,74928.82241523969
204,California,01-16-2021,2983149,33574,,2926455.0,7491.0060109753895,37802255.0,1.1287008891965609,95672.3062633049
205,Colorado,01-16-2021,373483,5363,19762.0,348358.0,6485.503068728971,4973741.0,1.43594219817234,86368.62325343618
206,Connecticut,01-16-2021,223422,6594,9800.0,207028.0,6266.592282753114,4880936.0,2.951365577248436,136901.62951818467
207,Delaware,01-16-2021,69372,1188,18851.0,49505.0,7124.108100114607,1108131.0,1.4645678371677333,113798.72330462
208,Florida,01-16-2021,1560186,24004,,1536182.0,7264.2010655033155,17546717.0,1.538534508065064,81697.23374487732
209,Georgia,01-16-2021,809663,12291,,797372.0,7625.795826350707,5887700.0,1.5180389865907171,55453.192361272595
210,Hawaii,01-16-2021,24969,320,11958.0,12197.0,1728.5460832617637,905322.0,1.3034240418403202,63940.94946435836
211,Idaho,01-16-2021,155276,1605,70163.0,83508.0,8688.883728347877,574288.0,1.0336433189932763,32135.82046539997
212,Illinois,01-16-2021,1064667,20020,,1044647.0,8401.846901088644,14667148.0,1.8804001626799745,115746.1741291958
213,Indiana,01-16-2021,587049,10534,375699.0,202063.0,8719.992620560917,6386194.0,1.5819803798320071,94860.16423411062
214,Iowa,01-16-2021,304748,4321,265320.0,35107.0,9658.993302842726,1214729.0,1.4178928163597464,38500.85735023312
215,Kansas,01-16-2021,258354,3489,5138.0,249727.0,8868.045119750223,1100365.0,1.350472607352702,37770.21632409002
216,Kentucky,01-16-2021,324324,3093,40541.0,280690.0,7259.349554007198,3400741.0,0.9536759536759536,76118.84307557871
217,Louisiana,01-16-2021,364853,8080,298614.0,58159.0,7848.33657933649,4593428.0,2.2145905337218004,98809.02444806117
218,Maine,01-16-2021,33219,507,11952.0,20760.0,2471.2619735577427,1238985.0,1.5262349860019868,92171.84491731957
219,Maryland,01-16-2021,324031,6541,9451.0,308039.0,5359.7113972290945,6408323.0,2.0186340195845456,105998.38231596776
220,Massachusetts,01-16-2021,465726,13583,324203.0,127940.0,6756.993794562004,12259486.0,2.9165217316619643,177866.9664706711
221,Michigan,01-16-2021,581785,14669,442408.0,124708.0,5825.50646314451,8807614.0,2.521378172348892,88192.05081238273
222,Minnesota,01-16-2021,445047,5955,425253.0,13839.0,7891.419156427228,5836107.0,1.3380609239024193,103483.82660428908
223,Mississippi,01-16-2021,250869,5481,198888.0,46500.0,8429.315870945977,1473795.0,2.1848056156798967,49520.20211353665
224,Missouri,01-16-2021,499866,6523,,441474.0,7298.513318608381,3920745.0,1.4437169180762646,63882.541677067326
225,Montana,01-16-2021,89056,1088,82920.0,5048.0,8332.506844265132,874943.0,1.221703197987783,81863.86695833932
226,Nebraska,01-16-2021,180910,1837,124963.0,54110.0,9352.215251384405,1908692.0,1.0154220330551105,98670.60103142668
227,Nevada,01-16-2021,260090,3761,,256329.0,8444.052833687645,2317860.0,1.4460379099542466,75251.38337149157
